iter	Passed	Remaining
338	20887	53051
339	20937	52960
340	20992	52880
341	21053	52817
342	21115	52758
343	21185	52717
344	21246	52653
345	21295	52562
346	21344	52470
347	21390	52370
348	21449	52302
349	21511	52241
350	21562	52155
351	21615	52073
352	21674	52007
353	21726	51922
354	21781	51845
355	21836	51769
356	21892	51696
357	21954	51635
358	22000	51538
359	22054	51459
360	22110	51386
361	22170	51322
362	22229	51256
363	22281	51174
364	22334	51093
365	22384	51006
366	22436	50925
367	22498	50866
368	22547	50777
369	22595	50687
370	22639	50588
371	22690	50505
372	22738	50413
373	22785	50322
374	22863	50299
375	22924	50238
376	22992	50192
377	23052	50130
378	23113	50068
379	23164	49987
380	23217	49908
381	23281	49853
382	23353	49815
383	23436	49802
384	23492	49731
385	23559	49682
386	23668	49722
387	23739	49682
388	23797	49613
389	23868	49572
390	23935	49522
391	23982	49432
392	24037	49359
393	24098	49298
394	24161	49240
395	24216	49165
396	24267	49085
397	24325	49018
398	24378	48940
399	24450	48900
